,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10690,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19588193.0,19588193.0,False,,1,,,,2024-01-03T06:34:00.000Z,45296.626155466234,31687084164.281464,17.1268,0.02602826,0.10247062,6.60873032,8.76735526,30.26786576,63.84227654,887279055382.1206,50.9872,951229149264.79,,2024-01-03T06:34:00.000Z,,,,,,2024-01-03 06:36:11.559288
1,1027,Ethereum,ETH,ethereum,8166,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120185495.51593144,120185495.51593144,True,,2,,,,2024-01-03T06:34:00.000Z,2380.43961251782,11561657844.08065,31.9728,0.24439237,-0.01928794,6.8878245,5.45935502,29.83336545,45.29417441,286094314376.20605,16.4388,286094314376.21,,2024-01-03T06:34:00.000Z,,,,,,2024-01-03 06:36:11.559288
2,825,Tether USDt,USDT,tether,70379,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,92047993063.19923,94603058344.82516,True,,3,,,,2024-01-03T06:34:00.000Z,1.0007429973078166,52289373153.1573,19.8578,0.04008668,0.00550336,0.06724555,0.09338905,0.03116576,0.06492236,92116384474.2351,5.2934,94673348162.49,,2024-01-03T06:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-03 06:36:11.559288
3,1839,BNB,BNB,bnb,1968,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151691799.40369335,151691799.40369335,False,,4,,,,2024-01-03T06:34:00.000Z,320.14449265168366,1054034558.5286553,7.8353,1.40732449,0.76951186,9.08782442,36.7296659,38.21113593,50.54085476,48563294159.51638,2.7904,48563294159.52,,2024-01-03T06:34:00.000Z,,,,,,2024-01-03 06:36:11.559288
4,5426,Solana,SOL,solana,610,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,430016142.92021674,566218464.8447641,True,,5,,,,2024-01-03T06:34:00.000Z,109.40228851056952,3351010645.3111577,22.4416,0.578337,-3.05073778,-2.40296236,68.48467794,166.42258003,373.40999174,47044750131.95985,2.7032,61945595850.96,,2024-01-03T06:34:00.000Z,,,,,,2024-01-03 06:36:11.559288
5,52,XRP,XRP,xrp,1194,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54125149173.0,99988100379.0,False,,6,,,,2024-01-03T06:34:00.000Z,0.6335106496402901,1355564643.8896039,60.6801,-0.49923299,0.57152447,2.21175513,-0.08834214,3.35648439,20.74616061,34288858414.464844,1.9702,63351064964.03,,2024-01-03T06:34:00.000Z,,,,,,2024-01-03 06:36:11.559288
6,3408,USDC,USDC,usd-coin,15936,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24791694105.052,24791694105.052,False,,7,,,,2024-01-03T06:34:00.000Z,1.0004874341850607,6355480979.953195,33.5132,0.04674136,0.04917019,0.03917979,0.057533,0.04482302,0.0462593,24803778424.26437,1.4252,24803778424.26,,2024-01-03T06:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-01-03 06:36:11.559288
7,2010,Cardano,ADA,cardano,1018,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35367635183.318,36498916808.907,False,,8,,,,2024-01-03T06:34:00.000Z,0.6167619824073872,547902692.9216694,14.0389,0.35965342,-1.36836386,3.02552876,50.86116859,89.63452017,139.16086526,21813412788.724464,1.2535,27754289208.33,,2024-01-03T06:34:00.000Z,,,,,,2024-01-03 06:36:11.559288
8,5805,Avalanche,AVAX,avalanche,628,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,366382637.85721093,434415547.85721093,False,,9,,,,2024-01-03T06:34:00.000Z,41.04927038702814,753509010.1286216,-4.7928,0.40738953,-3.7542733,-5.71667175,83.05557575,239.42579101,310.31447454,15039739966.513264,0.8642,29555474678.66,,2024-01-03T06:34:00.000Z,,,,,,2024-01-03 06:36:11.559288
9,74,Dogecoin,DOGE,dogecoin,863,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142497006383.70523,142497006383.70523,True,,10,,,,2024-01-03T06:34:00.000Z,0.0917538541915877,450929353.13478345,29.5985,0.10204522,-1.27439369,0.649538,1.3457656,33.38811445,50.41329581,13074649546.468231,0.7513,13074649546.47,,2024-01-03T06:34:00.000Z,,,,,,2024-01-03 06:36:11.559288
